latitude,longitude,depth,mag,time
63.2261,-151.1424,4.9,0.8,1668839762278
64.4825,-147.3155,2.5,0.8,1668839435481
56.1277,-149.2932,10,3.2,1668839023722
60.0097,-140.2049,6.4,1.5,1668838992180
60.0458,-140.1915,6.1,1.6,1668838943763
54.2911,-160.7097,35,2.7,1668838582932
19.4023333333333,-155.2725,12.88,2.53,1668838413070
36.8176667,-121.552,5.25,1.46,1668838302090
17.9785,-67.0036666666667,10,2.38,1668837664830
36.6255,-121.137,8.68,1.49,1668837622280
17.9478333333333,-66.9073333333333,9.64,1.87,1668837145850
64.3924,-147.3928,0.6,1.7,1668837067766
37.7403333,-122.1478333,6.16,1.48,1668836855210
17.9278333333333,-66.8191666666667,9.15,2.88,1668836722880
65.7145,-145.6727,0,1,1668836592165
57.8432,-154.5537,58.4,2.2,1668836542763
36.7043333,-121.3426667,4.37,2.18,1668836217680
34.9255,-96.2065,2.85,2.22,1668835915299
64.397,-147.3715,2.2,0.8,1668835702636
-32.4252,-71.7397,32.926,4.6,1668835435821
58.2258333333333,-155.169166666667,3.52,0.07,1668835427390
60.3208,-143.0554,9.4,1.3,1668835413115
58.2408333333333,-155.158333333333,4.08,-0.3,1668835367690
60.3162,-143.012,13.2,1.6,1668835332485
58.1861666666667,-155.284,1.42,0.16,1668835092100
64.4243,-147.3955,6.9,0.9,1668834976197
38.8306667,-122.8028333,1.89,2.01,1668834835210
-33.2575,-71.0635,74.738,4.6,1668834813481
33.7911667,-116.0748333,2.71,2.05,1668834486550
33.2195,-116.7466667,11.43,1.1,1668833959310
65.8375,-156.3336,11.5,1.8,1668833877486
36.7882,-115.9803,3.1,0.2,1668833725787
53.222,-168.026333333333,13.36,0.69,1668833556380
38.666,-119.7633,4.8,0.8,1668833460807
64.4036,-147.4015,4.5,1.6,1668833393673
35.17364502,-101.7626953,7.752156576,1.7,1668832623516
33.2188333,-116.744,11.31,0.63,1668831983880
38.8206673,-122.7881699,1.57,1.02,1668831927680
31.61569972,-103.9696373,8.599536133,1.7,1668831842299
67.5641,-148.7169,4.4,1,1668831521008
34.1968333,-116.9511667,9.08,2.62,1668831341720
18.9856666666667,-64.9306666666667,23.44,3.18,1668830992310
40.9358333,-121.7566667,9.1,1.89,1668830937570
51.8655,-177.911,6.27,0.76,1668830745590
-30.7702,-179.9165,402.939,3.9,1668830626705
60.8875,-148.137,11.5,1.5,1668830601007
17.9561666666667,-66.985,7.14,2.48,1668830408330
60.1458,-151.7361,63.7,1.5,1668830209754
19.4375,-155.609497070312,-0.810000002384186,1.90999997,1668830128720
35.9295,-97.9015,6.02,1.12,1668830063629
64.3853,-147.4097,0.9,1.6,1668829406274
31.65454112,-104.4649603,7.057055663999999,2.2,1668829369794
58.264,-155.107833333333,5.43,-0.48,1668829328760
64.4049,-147.38,7.7,0.9,1668829186906
62.9635,-149.8246,79.4,1.7,1668828969621
-11.1735,163.4523,10,4.3,1668828662799
40.4871667,-112.1578333,4.61,1.52,1668828649290
33.5961667,-116.6896667,15.36,0.68,1668828594500
54.2336,-164.0503,16.9,2,1668827603958
38.8349991,-122.815834,1.96,1.08,1668827275610
51.3409,-177.0308,35,3,1668827203384
17.9823333333333,-66.8363333333333,16.86,1.81,1668827092190
-6.2889,-71.7809,584.682,4.1,1668826969069
61.1463,-151.3212,65.2,1.1,1668826856312
64.9957,-147.3569,0,1.4,1668826100107
35.9625,-117.9486667,4.11,1.69,1668825703280
38.8363333,-122.812,1.71,0.54,1668825694550
19.1944999694824,-155.490005493164,30.6000003814697,2.5,1668825650640
60.7576,-147.1677,22.5,2,1668825428639
58.2465,-155.075833333333,5.4,-0.53,1668824860630
39.2515,-120.1533,11.3,0.3,1668824739516
31.62623561,-103.9804443,7.057055663999999,1.9,1668824343350
16.0337,119.4751,23.546,5,1668824303010
64.4169,-147.3791,7.4,0.8,1668824171307
53.834,-35.2473,10,4.4,1668823142741
31.51640003,-104.0123294,8.329602051,1.9,1668823068992
39.2186,-120.0791,7.4,0.1,1668823011784
60.0258,-152.8596,93.6,1.5,1668823002327
39.2169,-120.0827,7,0,1668822699966
20.0196666717529,-155.620834350586,14.7399997711182,2.82999992,1668822306950
54.5354,-161.7564,17.2,2.1,1668821995171
44.7801,140.9129,262.837,4.1,1668821974252
65.4168,-144.6675,1,1.3,1668821451889
62.0894,-151.2359,74.1,1.2,1668821435781
38.7951667,-122.7801667,0.14,0.46,1668820618850
38.794,-122.7798333,0.02,0.34,1668820613100
34.2618333,-117.1208333,2.82,0.97,1668820256710
38.7869987,-122.7474976,1.64,0.86,1668820123740
18.1768333333333,-67.2023333333333,101.88,3.27,1668819558780
31.62633863,-103.9840766,6.967077637,1.7,1668819532704
38.7869987,-122.7669983,3.02,0.85,1668819469410
17.9843333333333,-66.8351666666667,16.96,2.47,1668819409880
36.29333333,-98.17766667,7,1.3,1668819002770
-52.3065,13.7911,10,5.5,1668818978414
53.7827,-35.0747,10,4.7,1668818837046
51.8593333333333,-177.989333333333,3.72,1.32,1668818689130
61.8347,-147.1073,30.6,1.3,1668818411892
59.9312,-151.2932,59.3,1.4,1668817502070
62.2509,-150.1786,7.1,1.1,1668817376715
33.2185,-116.7446667,11.27,0.71,1668816620280
33.143,-115.9576667,7.32,1.11,1668816559780
51.8565,-177.998,3.77,0.87,1668816513530
51.8641666666667,-178.006166666667,5.16,1.09,1668816258170
51.8583333333333,-177.984166666667,3.82,1.45,1668816244110
51.857,-177.995833333333,3.93,1.18,1668816231800
17.9816666666667,-66.8385,17.24,2.44,1668816221370
51.8622,-178.0125,6.2,2.3,1668816061737
51.8563333333333,-177.980833333333,3.58,1.83,1668816058660
64.4095,-147.3948,6.8,1.5,1668816036762
53.2835,-163.5348,13.648,2.7,1668815712781
60.2422,-152.4956,84,1.4,1668815410579
51.8551666666667,-177.9775,-1.8,0.8,1668815369410
54.1425,-165.971166666667,4.21,0.09,1668815336930
17.9888333333333,-66.8448333333333,17.1,2.31,1668814889950
33.2183333,-116.7453333,12.02,0.65,1668814866190
41.5031667,-112.1791667,7.9,1.13,1668814743000
59.7024,-152.4341,77.3,1.6,1668814591717
19.0871666666667,-66.8141666666667,19.76,3.15,1668814554430
17.99,-66.8335,16.5,2.38,1668814462920
51.8583333333333,-178.0135,2.96,0.83,1668814407930
35.4546,-3.6108,10,4.3,1668814362138
63.8625,-148.5227,11.4,0.7,1668814351713
31.62950719,-103.9986185,6.041589355,2.6,1668814343924
64.4018,-147.3889,6.8,0.7,1668814280225
38.8326683,-122.8180008,1.9,1.18,1668814276010
17.8496666666667,-66.7513333333333,30.08,2.35,1668813976230
-58.8209,-16.4832,10,4.7,1668813947363
53.3933333333333,-168.2235,-0.98,0.05,1668813847810
37.1953,-116.8883,9.8,0.6,1668813722059
54.4223,-159.7038,26.667,2.7,1668813611707
61.1101,-148.4902,0,1,1668813470350
37.4376667,-118.6146667,12.75,1.24,1668813252430
56.2843,-149.3755,15.818,3,1668812857745
64.4109,-147.3908,6.7,0.9,1668812630424
17.985,-66.8326666666667,16.87,2.54,1668812563690
64.4223,-147.4216,16.1,0.4,1668812466565
51.8575,-177.991666666667,2.92,1.25,1668812402230
38.8118324,-122.8191681,2.7,0.99,1668812277440
64.378,-147.3933,6,1.4,1668812155163
51.8595,-177.995666666667,2.46,1.37,1668812130250
64.3885,-147.3751,9.6,3.1,1668811824178
58.2452,-155.1172,3.2,0.8,1668811705265
61.9977,-150.2737,10.6,0.9,1668811682947
51.8585,-177.991666666667,1.85,0.98,1668811580610
63.4582,-147.7757,8.4,0.7,1668811526048
32.9391667,-117.5285,17.74,1.63,1668810738350
48.086,-121.94016666666667,-0.55,1.78,1668810611540
34.6684,70.5727,10,4,1668810412838
39.6001,-119.0882,13,1.6,1668810387676
36.0365,-120.6251667,1.09,0.9,1668810367490
51.8575,-177.9945,2.7,1.92,1668810270600
51.8623333333333,-177.999333333333,2.16,1.15,1668810049000
51.8611666666667,-177.997,0.75,1.16,1668810040450
51.8668333333333,-178.0045,3.06,1.16,1668810008790
65.4821,-144.7697,11.4,1.5,1668809888700
51.8586666666667,-177.995833333333,2.5,1.45,1668809809350
35.7871667,-117.758,7.2,0.49,1668809643340
38.8176667,-122.8213333,2.62,0.19,1668809592600
63.7098,-149.3619,117.6,1.4,1668809394756
69.5984,-144.5635,12,1.3,1668809302544
38.8180008,-122.7641678,0.85,1.07,1668809185140
51.8383,-177.9906,6.3,1.8,1668808611500
39.3591,-120.1652,8,-0.1,1668808267279
51.8713333333333,-178.029666666667,4.42,1.07,1668808080440
31.63363888,-103.9999832,6.632873535,1.6,1668807838602
36,-120.5615,1.53,-0.09,1668807504130
19.5188333333333,-155.279333333333,19.89,2.05,1668807122740
64.2646,-149.9007,19.7,0.9,1668806892105
57.6851,-156.1876,8.1,3.6,1668806889252
51.8576,-177.9971,4.7,2,1668806775146
51.8525,-177.989166666667,-1.8,1.02,1668806422460
45.9005,-122.436,-0.84,0.75,1668806369510
51.8661666666667,-178.005666666667,2.21,1.34,1668805960650
53.9139,-165.449,108.3,2.1,1668805944539
51.862,-178,6.1,2.2,1668805897046
64.4627,-147.2777,10.8,0.7,1668805826339
51.8625,-178.003833333333,0.8,1.33,1668805792750
54.6234,-165.0886,121.8,2.3,1668805657583
33.1656667,-115.6301667,3.91,1.32,1668805316040
64.3813,-147.3799,6.7,0.5,1668805208051
31.67179354,-104.4947353,7.776879883,2.7,1668805161348
19.4933338165283,-155.662994384766,0.699999988079071,1.83000004,1668804314820
51.8566666666667,-177.989333333333,-1.8,0.83,1668803981020
36.5818333,-121.4306667,-0.43,1.54,1668803940820
34.1055,-117.5283333,14.73,1.39,1668803047470
37.629,-118.0097,5.4,2.4,1668802928110
31.55345937,-104.0868348,6.568603515999999,2.5,1668802906584
51.8591666666667,-177.994333333333,3.12,1.41,1668802682880
31.6760826,-104.405952,6.131567383,1.8,1668802340522
31.66880637,-104.5259268,9.833520508,1.8,1668802288700
64.9655,-147.3058,0,1.1,1668802192602
51.8585,-177.996166666667,3,1.37,1668802172570
51.9089,-174.2451,78.888,2.7,1668801922078
33.0423333,-116.4405,15.5,1.03,1668801580360
64.4695,-147.3016,1,1,1668801434448
33.2191667,-116.7466667,11.51,1.04,1668801256460
66.33,-157.3025,8.9,1,1668801013964
36.452,-121.0223333,0.16,1.54,1668800366530
66.4186,-157.3097,10.6,1.1,1668800307367
61.8774,-149.996,8.2,0.9,1668799945978
51.8603333333333,-177.996833333333,1.97,1.4,1668799863000
53.8411,-35.2943,10,4.5,1668799623242
19.2311668395996,-155.382507324219,32.5900001525879,2.47,1668799551940
31.61052859,-104.0045813,7.879711914,3,1668799402283
31.61810871,-103.9708583,7.121325684,1.6,1668799231522
13.0447,145.5284,10,4.9,1668799133126
12.9294,145.4253,10,4.8,1668799093814
31.61386308,-103.9690913,7.211303711,1.8,1668799061795
34.49383333,-97.223,0,2.02,1668799054560
66.3857,-157.2744,5,1.1,1668798870446
